Àðòèêóë;x1;y1;x2;y2;x3;y3;x4;y4;x5;y5;x6;y6
112422;38;38;38;38;38;38;0;0;0;0;0;0
112423;48;48;47;48;47;48;0;0;0;0;0;0
112424;57;58;57;58;57;58;0;0;0;0;0;0
112491;17;43;23;55;23;55;17;43;0;0;0;0
112492;22;56;30;71;30;71;22;56;0;0;0;0
112493;27;68;36;87;36;87;27;68;0;0;0;0
112494;32;81;43;104;43;103;32;81;0;0;0;0
118781;20;62;43;62;19;62;0;0;0;0;0;0
118782;25;80;55;80;25;80;0;0;0;0;0;0
118783;31;98;68;98;31;98;0;0;0;0;0;0
118784;37;116;80;116;37;116;0;0;0;0;0;0
112561;19;45;19;45;19;45;0;0;0;0;0;0
112562;26;62;26;62;26;62;0;0;0;0;0;0
112563;34;79;34;79;34;79;0;0;0;0;0;0
112564;41;97;41;97;41;97;0;0;0;0;0;0
118801;27;61;27;61;27;61;0;0;0;0;0;0
118802;35;78;35;78;35;78;0;0;0;0;0;0
118803;43;96;43;96;43;96;0;0;0;0;0;0
118804;51;114;51;114;51;114;0;0;0;0;0;0
112681;17;45;23;57;23;57;17;45;0;0;0;0
112682;22;58;30;73;30;74;22;58;0;0;0;0
112683;27;71;36;90;36;91;27;71;0;0;0;0
112684;32;84;43;107;43;107;32;84;0;0;0;0
118811;19;45;19;45;19;45;0;0;0;0;0;0
118812;26;62;26;62;26;62;0;0;0;0;0;0
118813;34;79;34;79;34;79;0;0;0;0;0;0
118814;41;96;41;96;41;96;0;0;0;0;0;0
118861;27;60;27;60;27;60;0;0;0;0;0;0
118862;35;77;35;77;35;77;0;0;0;0;0;0
118863;43;95;43;95;43;95;0;0;0;0;0;0
118864;51;113;51;113;51;113;0;0;0;0;0;0
113001;37;19;37;19;37;19;0;0;0;0;0;0
113002;52;27;52;27;52;27;0;0;0;0;0;0
113003;66;35;66;35;66;35;0;0;0;0;0;0
113004;81;42;81;42;81;42;0;0;0;0;0;0
118871;19;41;19;41;19;41;0;0;0;0;0;0
118872;26;56;26;56;26;56;0;0;0;0;0;0
118873;34;72;34;72;34;72;0;0;0;0;0;0
118874;41;88;41;88;41;88;0;0;0;0;0;0
113051;55;55;0;0;0;0;0;0;0;0;0;0
113052;70;70;0;0;0;0;0;0;0;0;0;0
113053;85;85;0;0;0;0;0;0;0;0;0;0
113054;100;101;0;0;0;0;0;0;0;0;0;0
113201;36;20;36;20;36;20;0;0;0;0;0;0
113202;50;27;50;28;50;27;0;0;0;0;0;0
113203;63;35;63;35;63;35;0;0;0;0;0;0
113204;78;43;78;43;78;43;0;0;0;0;0;0
113291;42;42;42;42;0;0;0;0;0;0;0;0
113292;54;55;54;55;0;0;0;0;0;0;0;0
113293;66;67;66;67;0;0;0;0;0;0;0;0
113294;79;79;79;79;0;0;0;0;0;0;0;0
113441;41;29;41;29;41;29;41;29;0;0;0;0
113442;53;37;53;37;53;37;53;37;0;0;0;0
113443;65;46;65;46;65;46;65;46;0;0;0;0
113444;78;54;78;54;78;54;78;54;0;0;0;0
113571;17;45;23;58;23;58;17;45;0;0;0;0
113572;22;59;30;75;30;75;22;59;0;0;0;0
113573;27;72;36;92;36;92;27;72;0;0;0;0
113574;32;86;43;109;43;110;32;85;0;0;0;0
113681;20;56;43;56;19;56;0;0;0;0;0;0
113682;25;73;55;73;25;73;0;0;0;0;0;0
113683;31;89;68;89;31;89;0;0;0;0;0;0
113684;37;106;80;106;37;106;0;0;0;0;0;0
119011;27;58;27;58;27;58;0;0;0;0;0;0
119012;35;76;35;76;35;76;0;0;0;0;0;0
119013;43;93;43;93;43;93;0;0;0;0;0;0
119014;51;110;51;110;51;110;0;0;0;0;0;0
113761;17;40;23;55;23;56;16;40;0;0;0;0
113762;22;52;30;71;30;72;20;52;0;0;0;0
113763;27;64;37;88;36;89;25;64;0;0;0;0
113764;32;76;43;104;43;105;30;76;0;0;0;0
119031;30;53;30;53;0;0;0;0;0;0;0;0
119032;41;73;41;73;0;0;0;0;0;0;0;0
119033;52;94;52;94;0;0;0;0;0;0;0;0
119034;64;115;64;115;0;0;0;0;0;0;0;0
113831;20;57;43;57;20;57;0;0;0;0;0;0
113832;25;74;55;74;25;74;0;0;0;0;0;0
113833;31;90;68;90;31;90;0;0;0;0;0;0
113834;37;107;81;107;37;107;0;0;0;0;0;0
113841;60;33;0;0;0;0;0;0;0;0;0;0
113842;83;45;0;0;0;0;0;0;0;0;0;0
113843;106;58;0;0;0;0;0;0;0;0;0;0
113844;130;71;0;0;0;0;0;0;0;0;0;0
119081;29;41;29;41;0;0;0;0;0;0;0;0
119082;40;57;40;57;0;0;0;0;0;0;0;0
119083;52;73;52;73;0;0;0;0;0;0;0;0
119084;63;90;63;90;0;0;0;0;0;0;0;0
119091;19;46;19;46;19;46;0;0;0;0;0;0
119092;26;63;26;63;26;63;0;0;0;0;0;0
119093;33;81;34;81;33;81;0;0;0;0;0;0
119094;41;99;41;99;41;99;0;0;0;0;0;0
119111;20;54;20;54;20;54;20;54;0;0;0;0
119112;26;70;26;70;26;70;26;70;0;0;0;0
119113;32;85;32;85;32;85;32;85;0;0;0;0
119114;38;101;38;101;38;101;38;101;0;0;0;0
113931;55;55;0;0;0;0;0;0;0;0;0;0
113932;70;70;0;0;0;0;0;0;0;0;0;0
113933;85;86;0;0;0;0;0;0;0;0;0;0
113934;100;101;0;0;0;0;0;0;0;0;0;0
113941;41;29;41;29;0;0;0;0;0;0;0;0
113942;57;41;57;41;0;0;0;0;0;0;0;0
113943;73;52;73;52;0;0;0;0;0;0;0;0
113944;89;64;89;64;0;0;0;0;0;0;0;0
114081;19;19;23;23;49;28;0;0;0;0;0;0
114082;26;26;32;32;68;38;0;0;0;0;0;0
114083;33;33;41;41;87;49;0;0;0;0;0;0
114084;40;41;50;51;107;60;0;0;0;0;0;0
114151;20;58;43;58;20;58;0;0;0;0;0;0
114152;25;76;55;76;25;76;0;0;0;0;0;0
114153;31;93;68;93;31;93;0;0;0;0;0;0
114154;37;110;81;110;37;110;0;0;0;0;0;0
114211;21;58;38;58;21;58;0;0;0;0;0;0
114212;28;75;49;75;28;75;0;0;0;0;0;0
114213;34;92;60;92;34;92;0;0;0;0;0;0
114214;40;109;71;109;40;109;0;0;0;0;0;0
